Designator,Footprint,Quantity,Value,LCSC Part #
"C1101, C1102, C1601, C1602, C1603, C1604, C1605, C403, C503, C504, C505, C506, C508, C514, C516, C519, C521, C522, C523, C901, C902, C903",0402,22,100n,C307331
"C1501, C517, C701",0603,3,100n,C14663
"C201, C203",0603,2,10u,C96446
"C301, C302, C303, C304, C305, C306",0402,6,1u,C52923
"C401, C402",0402,2,18p,C1549
C404,0402,1,20p,C1554
"C501, C502",0603,2,7.0p,C1682
"C509, C510",0402,2,22p,C1555
"D1101, D1102, D1103, D1104, D1105, D1106, D1107, D1108",0603,8,Red,C2286
D1301,0805,1,Green,C2297
"D1401, D1402",D_SMB,2,20V,C49452366
"D1501, D1502, D701, D702",0603,4,White,C2290
D1701,D_SOD-323_HandSoldering,1,600m,C191023
D401,0603,1,STLINK,C2286
D901,D_SOD-123,1,3V3,C2112
J1701,USB_Micro-B_Molex-105133-0001,1,MicroUSB,C782257
J1801,PinHeader_2x05_P2.54mm_Vertical_SMD,1,Conn_02x05_Odd_Even,
J201,SODIMM-260 DDR4,1,SODIMM-260,C592559
"Q1301, Q1501, Q1502, Q701, Q702",SOT-23,5,BSS84,
Q1701,SOT-23,1,MMBT3904,
"R1101, R1102, R1103, R1104, R1105, R1106, R1107, R1108",0402,8,220,C25091
"R1301, R1502, R1503, R702, R703",0603,5,120,C22787
R1401,0402,1,470,C25117
"R1402, R1405",0603,2,360,C25194
"R1403, R1406",0603,2,390,C23151
R1404,0603,1,270,C22966
"R1407, R1408, R1704, R403, R404",0402,5,100k,C25741
"R1501, R701",0402,2,120,C25079
"R1701, R1801, R401, R402, R501",0402,5,10k,C25744
R1702,0603,1,36k,C23147
R1703,0402,1,1.5k,C25867
"R1802, R1803, R1804, R1805",0402,4,22,C25092
R405,0402,1,100,C25900
"R406, R409",0402,2,100,C25076
"R407, R408",0402,2,4.7k,C25900
"R901, R902, R903, R904, R905, R906",0402,6,47k,C25792
SW401,SW_Push_1P1T-SH_NO_CK_KMR2xxG,1,STLINK_RST,
SW501,SW_Push_1P1T-SH_NO_CK_KMR2xxG,1,MCU_RST,
U1101,TSSOP-16_4.4x5mm_P0.65mm,1,74HC4051,
"U1401, U1402",WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,2,TPS25961,C5571272
"U1501, U701",TSOT-23-8,2,TCAN334G,
U1701,SOT-23,1,PSM712-LF-T7,C32677 
U301,TO-252-5_TabPin3,1,TPS7B8733QKVURQ1,C3752877
U401,LQFP-48_7x7mm_P0.5mm,1,STM32F103CBTx,C8304
U501,LQFP-144_20x20mm_P0.5mm,1,STM32L552ZET6Q,TO ORDER
U901,SOIC-8_5.3x5.3mm_P1.27mm,1,MX25R3235FM2xx1,C2802828
Y401,Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering,1,8MHz 5pF,C115962
Y501,Crystal_SMD_2012-2Pin_2.0x1.2mm_HandSoldering,1,"32.768kHz, 1.2pF",C5341286
Y502,ABM3-16.000MHZ-D2Y-T,1,"16MHz, 7pF",C596861
